Date,Price,Open,High,Low,Vol,Change %
2021-12-01,2.0771,2.0836,2.16,2.0586,64.34K,0.64%
2021-11-30,2.0638,2.1545,2.174,2.0358,4.36K,-4.10%
2021-11-29,2.1521,2.0945,2.23,2.0945,23.12K,2.75%
2021-11-26,2.0945,2.3795,2.3837,2.0907,18.50K,-11.30%
2021-11-25,2.3613,2.3788,2.3847,2.3599,,-0.91%
2021-11-24,2.383,2.3849,2.4059,2.3744,34.25K,-0.05%
2021-11-23,2.3843,2.3225,2.3936,2.2943,41.39K,2.53%
2021-11-22,2.3254,2.2904,2.3393,2.2632,46.97K,1.40%
2021-11-19,2.2934,2.38,2.4065,2.2682,46.26K,-3.80%
2021-11-18,2.384,2.3712,2.3926,2.3427,35.60K,0.83%
2021-11-17,2.3644,2.425,2.4305,2.3548,49.31K,-2.74%
2021-11-16,2.4309,2.3984,2.4446,2.3916,54.81K,1.37%
2021-11-15,2.3981,2.401,2.415,2.351,67.35K,-0.23%
2021-11-12,2.4037,2.434,2.443,2.3835,69.02K,-1.77%
2021-11-11,2.4471,2.447,2.4678,2.4131,73.50K,-0.20%
2021-11-10,2.4521,2.5126,2.528,2.4347,66.18K,-2.23%
2021-11-09,2.5081,2.474,2.5158,2.4595,67.58K,1.66%
2021-11-08,2.4671,2.4433,2.4859,2.4433,63.52K,0.47%
2021-11-05,2.4556,2.4153,2.474,2.4005,69.64K,2.04%
2021-11-04,2.4066,2.4171,2.504,2.398,62.84K,-1.15%
2021-11-03,2.4345,2.4907,2.494,2.412,62.62K,-2.94%
2021-11-02,2.5082,2.4999,2.5193,2.4635,66.25K,0.20%
2021-11-01,2.5031,2.4764,2.515,2.4631,50.60K,0.27%
2021-10-29,2.4964,2.509,2.52,2.4649,3.80K,-0.80%
2021-10-28,2.5165,2.5093,2.5449,2.4513,24.36K,0.07%
